labels,text
__label__2,"Soft, feminine, and alluring: This is one of my favorite fragrances. It's a soft vanilla scent, though it isn't sugary or foody at all. It's very 'airy'. It begins a bit fruity-berry-ish, and then mellows into the skin as a soft vanilla, slightly floral scent. My boyfriend likes this one a lot, and always tells me I smell so good when I'm wearing it. The bottle is also beautiful. I'll wear a few spritzes in the morning, and it lasts almost until the end of a work day."
__label__2,klein crimping pliers: these are a great tool for my shop. we have 5 guys that use them all day long.much better than any other brand
__label__2,"Battlefield Guide: This book is an absolute must for even a novice civil war historian. My hobby is to visit WW 1 and 2 battlesites around the world. This book is in the class of the ""Stand Where They Fought"" guide series.Excellent campaign background descriptions, location directions, maps, and battle tactics with the significant charaters included."
__label__2,"Very, Very Enjoyable: Any but the staunchest, most purist fans of the series are pretty much guaranteed to enjoy the film. Though it does play a bit more like 'The Further Adventures of Mulder and Scully', it is very well written, very well acted, and at times, very poignant; I honestly don't feel it promised anything it didn't deliver. As far as series that have crossed over to the big screen go, I would put it in the same league as 'Serenity', and If you missed it in theaters in light of all the questionable reviews, you've got a second chance. And yes, the final credits sequence is very sweet and thought provoking."
__label__1,"Not worked!!!: Yes, It is a nice price and we tough that it will be good, but it's cheap and regret it having it, after 7 month or little more this whole set star been very uncomfortable to have breakfast or dinner, it move like it was going to break and make me feel very bad, i do have a teen 13 year old boy and 5 year old girl nd trust me they did not make it like that.so it is a pice of a ""COLLECTION"" you buy it don't use it if you want to have a nice pice. of....... i contact seller they dint want to do nothing for 30 days guarantee.so now i do have to buy another one for double or triple of that money.... make number and i am screw...."
__label__1,Negative stars actually. Scratches IPOD: This thing WILL scratch the surface of your IPOD. It scratched mine :( BEWARE!
__label__1,"Great phone, unless....: You want to call someone. I was prepared to love this phone from the start. Almost everything about it was exactly what I was looking for save one thing, reception. I've owned about ten different Nokia phones over the years and the 8801 was by far the worst when it comes to the cell phone's most basic function. My trusty Nokia 6610 comfortably showed four bars and excellent reception of the Tmobile GSM system. A swap of SIM cards yielded a fluttering one bar on the 8801 at best. If you're considering this phone, make certain you have strong reception in your area. You'll need it."
__label__2,Thee Best Season By Far!!!!: This DVD will be under my Christmas tree from myself hehe. Undoubtedly the best season ever. So much happens and so many surprises! I didn't know they let Kevin Williamson go after this season and it definitely shows in the later seasons but still one of my favorite shows. Bringing back past characters and bringing in new ones was an excellent idea and done very well. The last episode is a shocker I thought and will leave you begging for season 3 to come out.
__label__1,"Great start; sluggish finish: This is an ""alien object approaches solar system"" story. The begining, involving an accidental collision of a shuttle craft with an earth-orbit space station is quite good. The set-up of the two main characters, Alis and Karl, is done quite well. Things go downhill from there, however. The two are reunited by chance in a survey ship near Pluto, when the alien object comes onto the scene. The plot drags as the team sent to investigate the object stumbles through a series of mishaps. The characters, particularly the supporting cast to the two principals, are petty and peevish. The conclusion is painfully obvious. If you want to read about alien objects, Greg Bear's ""Eon"" or ACC's ""Rendezvous with Rama"" are much more fulfilling."
__label__1,Non repairable junk: My Polaroid unit lasted about 7 months. Then the picture just went out. The warranty was for six months. I couldn't get anyone to fix it so it went in the trash.
__label__2,Coldplay's X and Y: Really love it and I love Coldplay. It ranks right up there with A Rush of Blood to the Head.
__label__1,"Not bad--but not great, either: I found this book to be interesting in that the author addresses numerous issues that most writers would not dare to address in terms of African American race intra-relations. Unfortunately, she does a poor job with analyses about her own self-perceptions and choices she made in terms of dating and close relationships. It's evident that she grappled with how she fit in the broad scheme of things (i.e., the BLSA at HLS, other African Americans in the Air Force, etc.), but the book offers little closure on these issues, really. I would recommend that the author take notes from ""White is a state of mind"", by Melba Patillo Beals. This author fully addressed her choice to marry a white man, internal struggles with regard to relationships in general and men in particular, and choices she made throughout her life as it related to her career, etc. I really enjoy memoirs overall, but Dickerson left me hanging."
__label__2,"Finally...: Finally a show on basic cable that is just as good, or better IMHO, than HBO or Showtime. I love horror movies, especially the psychological/suspense genre. I watch every horror movie that comes out, so I'm pretty desensitized to scary things. But, this show actually scared me! Scared like hiding my face under the blanket and yelling at the people on TV ""don't go in there"", ""don't go that way"". Love it, love it, love it. Better than any scary movie I've seen in years, so it's awesome that it's on TV. It's like a great movie that doesn't end after two hours. I really should knock on wood. It seems like every time I really love a TV show it gets cancelled. Or maybe my tastes are just more refined than the majority! ;) lol"
__label__2,"Great value/ Check for chipped cutters: I've used these cutters on several projects now and I really like that they are adjustable since it seems that none of the plywood/melamine on the market seems to be consistent in thickness. This makes for a nicely fitting drawer bottom or door panel, but as others have said about 90% of them come with chipped cutters due to their poor packing."
__label__1,"Terrible Re-recording: This is actually Mark Lindsay re-recording his own solo hits and Paul Revere and the Raiders hits. Sounds terrible, not much like the originals. I threw away the CD. Anyway, looking for these songs should stick with the originals."
__label__2,Pleasant and Interesting: Great video footage and a good narrative to showcase Washington State's Olympic Peninsula. Not sure when it were actually filmed because of the 80's style haircuts and clothing of the people.
__label__2,"Excellent Condition: I ordered this text for a college class thinking it may be late, due to my lingering on the ordering......Ordered beginning of the week and it was here by the end of the week.New Condition, Excellent Shipping, A++++++"
__label__2,"Tobacco Road: This book is in good shape for its age. I've already watched the movie, and so far, the book is very similar."
__label__2,"wsouza: This is a great game that kids and adults can safely play. The poles do not have to be stuck in the ground, they have stands. Every thing is rubber, plus it will have your kids playing outside and not sit around playing video games. They can have fun and exercise outdoors."
__label__1,Not a complete product: Ordered item and it arrived without any of the descriptive literature and information. Was not like the picture. Returned 1st one and ordered a second which was identical to the first. Also was returned.
__label__1,"Not up to the usual HPS standards: There may be a game in there somewhere, but I couldn't get past the 1980's era graphics. Much better alternatives out there for this period wargaming."
__label__2,"great sleeve: Excellent sleeve. The interior is soft cloth to keep your screen scratch free. All you need is protection when in a bag or transport to prevent scratches. It is much better all those other snap on bulky covers. The tablet has a great feel already and looks great. Now a days, everyone is constantly putting ugly cases on every phone/tablet, you can never see how great the tablet looks. This provides protection with a sense of style."
__label__1,Toni Braxton: Very disappointed in this CD. Not the best I've ever heard. Won't be buying any more of her music.
__label__2,The War with Grandpa: I think this was a great book. My favorite part is when Peter stole Grandpa's false teeth. My least favorite part is when grandpa pull's all those dirty tricks on Peter. All together I think you will like this book.
__label__1,"Not my favorite: I am only 15 but I have read almost all of JG's books and I dont feel this is one of his best. I think this one was not very likeable for me because is it not likely that a high profile lawyer would give up all he is getting for a low paying job working for the homeless. I believe this is not even close to as good as ""The Rainmaker."""
__label__2,"Comprehensive guide to ski touring in the Tahoe ares.: My copy of this book is nearly destroyed from all the use it receives. This book is not just for winter. Many of the tours described have also turned out to be excellent mountain bike routes and hiking trips. The descriptions of the areas the routes traverse could be expanded, but the route information itself is first class."
__label__2,Found the last of discontinued CD2 Mixer: Numark stopped making this inexpensive item which I was thrilled to still be able to find on ecom.comIt is a simple dj player for both CD's..MIXER built in and you can connect your Computer DJ player as well..cant be beat....DJ Steven SInger
__label__1,Already stopped working: This is the second Motorola HS850 headset I have purchased and both stopped working after a short period of time. The very first Motorola HS850 I had came from a local office supply store and it worked for a very long time. These two I ordered through ecom have been terrible. They both started out ok and each one stopped working. The latest one lasted one month. I can hear on my end but the person can't hear me. I won't buy another one. I will fork out the money and buy one from the store. I thought I was saving money by ordering through ecom but it has cost me more in the long run.
__label__1,"Thin and cheap: These sheets are cheaply made. They have a weird texture, like paper. And they're so thin that they tore after only three washings. I am very disappointed."
__label__1,Disappointing: This book wastes too many pages covering general Grid Computing history and direction. Not enough detail on Oracle-specific Grid computing.
__label__2,"Better that Volume 1: It felt like this Volume 2 had more substance to it than compared to volume 1. I enjoyed watching it, and I think they put a bit more effort into the graphics and special effects, compared to the first volume, overall something worthwhile to watch."
__label__2,"Does what I needed it to do: I love to read on my porch but the glare made it impossible. The screen protector stopped the glare. It was easy to put on after the glass was cleaned...really cleaned. I had no bubbles, and have had no problems."
__label__2,Very Satisfied: We have been using this juicer for about a month. We are very satisfied. Easy to use. Easy to clean and maintain. Reasonably priced.
__label__2,Fate Sucks: Thomas Hardy has written a beautiful and tragic novel in RETURN. Fantastic story and ending once you get past the lengthy description of Egdon Heath. Breathtakingly powerful novel. A must read.
__label__1,"boring boring boring: I started to read this book and it lost my interest quick! I read the first 38 pages and never picked it up again. My friends agreed that its very repetitive & boring.There is many excellent parenting books out there, don't waist your valuable time on this one."
__label__2,"Documents Version 2 of the People CMM and describes practices for different maturity levels: The second updated edition of Bill Curtis, William E. Hefley, Sally A. Miller's People CMM documents Version 2 of the People CMM and describes practices for different maturity levels, explaining workforce development at each level and how to apply the framework of CMM as an assessment tool. Human resources and business managers personnel and college-level business libraries catering to them will find PEOPLE CMM packed with tips on a structure broadly adopted by small and large organizations around the world."
__label__1,Disappointed: Several videos hang up and the sound is not the greatest. Disappointed with this product I am happy with most of the items I buy at ecom but not this time. If I was going to buy again I would buy each movie separate not as a special package of all 5 movies together.
__label__1,"This is a ""Teaching"" workbook? My 7 yr. old found 2 mistakes: My Daughter (7 years old) found two addition mistakes on her own in this workbook. I emailed the Learning Horizons company to inform them about the errors, and also to let off a little steam at how disappointed I was with their quality of a so called education aid.Just thought anyone interested in these series or the brand in general should be aware of these pitiful attempts of a teaching aid....Have a nice day!Sonny*Daze"
__label__2,"Go Trekkers: I actually bought this for my husband, who is a trekkie through and through. It is going to be a gift for his 50th birthday and I know he is going to be tickled with it."
__label__2,"A great album...: Bob Forrest has a voice that lulls you into thinking all is right with the world even while he's singing about how sick the world can be. The best song by far is his own ""BiPolar Lovesick Blues"" which could be an anthem for a generation of people who continually attract and are attracted to the one person who is all wrong for them. His remake of ""Louisiana"" is heart breaking while ""Melt With You"" is surprisingly seductive. I'm starting to listen to some of his earlier work with bands like Bicycle Thief and Thelonious Monster and can't believe I missed out on such a unique singer/songwriter in the two previous decades. Buy this album,and you won't be disappointed."
__label__1,"Garbage...: I really consider korn to one of the worse bands and im also talking about their first cd which was terrible too and i dont know why people thought that korn's self title album was their best ? All of their albums are terrible period! I have listing to this in the cdstore because i knew they werent going to do noting for me so thats why it was given zero stars from me! There's no good songs here and if you want to be bored to death buy it but if you want some good music skip it!!!! Insted go for deathmetal because that's real music not this talentless nonsense... I would beg you guys not to go buy it but i know most of you are 13 year olds and nu-metal idiots with brainless music taste,that thinks korn as well as limp bizkit,linkin park etc... Are all good bands! Support deathmetal and leave the trash where it belongs!"
__label__1,Engineer: The solder attachment does not heat up enough to melt solder. So don't buy it if you want to solder. It does have a good flame though.
__label__2,"Spiderman Trilogy [Blu-ray]: This is an oustanding product, i love the quality of the picture and sound. if you are a spiderman fan, blu-ray is the way to go! I highly recommend this product!"
__label__2,"Love this!: I have had Carcassone for a long time but no expansions. The expansions have made this one of my favorite games all around. I got 4 expansions all at once and usually do combinations of 2 different expansions each time we play. Traders and Builders is my favorite expansion followed by Abbey and Mayor, then Inns and Cathedrals. I still need to implement Princess and the Dragon in sometime."
__label__2,"Awesome: I honestly didn't expect to much from this purchase considering the price, but I was very surprised at the quality of this cable. Insulation is very good. I have this running from my pc to my stereo and it sounds perfect, no sign of distortion, even with it running over adapters and power cords."
__label__1,"Feels sturdy, didn't last long: This is not a good product. The connection would drop, and after only a few months it stopped working entirely. Avoid!"
__label__2,"Interesting: We found this book okay to read, it was interesting enough to read and report on but it could have been better. The parts we liked were when Mr Griffin died and when susan was tired up. Betsy was our fave character."
__label__2,"Put baby to sleep fast: I got this when my son was four months old and he is now 14 months old and still uses it to go sleep. He loves to ""talk"" to the fish and every night. He loves to push the buttons all the time to make it go. When he was younger the music on this was the only thing that calmed him down. It is very durable as my two year has unhook it and it fell on the floor and it still works fine. I would recommend this to everyone,the money is well worh it, and I know he will be using this for several more years as he loves this still."
__label__1,In the first chapter the Author says he is not a trader. I agree.: In the first chapter the author even says he is not a trader. I agree that with his statement that he is just a technical writer. This book is an interpretation of the Tradestation statistics (which you can get from Trade station). He tells you how to read the lab experiments. There is hardly anything to do with actual trading systems. If you read the title closley is reads Trading (BUILDING AND EVALUATING) Systems that Work. This is more about evaluation and less about building.
__label__1,"Non-standard bottles a pain.: This pump worked reasonably well for the price, but it is impossible to feed directly from the bottles because they are a non-standard size and no nipples are provided. I thought when I bought this pump that the bottles were the same size as the wide mouth Avent bottles, but they're not. I looked for nipples that would work with these bottles, but was unable to find any."
__label__1,"Read this book if you want to be terrified!!!: After reading this book I almost changed my mind about having children! It mainly focuses on negativity and the author gives you the impression that almost any horror of pregnancy is an inevitability. There are definite pros and cons to having an epidural, but Vicky makes it seem like your only intelligent choice is to have one. I would not recommend this book for a first time mom learning about pregnancy. I did not find this book amusing, nor did my husband."
__label__2,"Great product for the price!: This stand is well constructed, and gives your superior protection with the foam padding. I also like the rubber strap across the top. I didn't have any issue with smell like other reviews. I did have a small piece of plastic break off on the center post where it telescopes, but not really a issue since it doesn't touch the guitar. Solid stand for the price, and no worries about any scuff marks appearing on your guitar."
__label__1,"NOT DISHWASHER SAFE!: Very pretty when I first got it! I chose the magenta one. But the first time I placed it in the dishwasher, it came out with what seemed like bleach spots all over it. The pretty hot pink enamel is completely ruined. This would have matched my kitchen perfectly, but I'm now using it on my patio as a plant container."
__label__2,Witty and Intelligent: An amazing gift for anyone in physics but a great read for the layman as well. Feynman is so smart and tells his story in a clever tongue in cheek way that will keep you turning the page late into the night. Couldn't put it down!
__label__2,"Great Sound Quality: As a huge fan of Johnny I wanted to get as much of his catalog as possible in the best audio quality possible. Luckily much of his catalog is available in remastered CDs, but ""Listen"" and ""I Don't Want to Be Alone, Stranger"" are only available on these 2fers. There is another CD that contains both these albums called ""Lone Ranger"". I have yet to compare the sound of that CD with this one, but this one sounds quite good. It's clear that they went to the original master tapes instead of just a vinyl source, which I've encountered a few times.These albums are important chapters in JGW's career. After a string of blues albums in the 60's, he reemerged in '73 with ""Listen"" and established a sound that would carry him to his big breakout, ""Ain't That a Bitch"", all the way into the early 80's with ""That's What Time It Is"". This decade of music is the heart of JGW's catalog, and it starts with these two albums."
__label__1,"IM SICK AND TIRED OF ALL THIS GAY HIP POP CRAP: chingy is a perfect example of how rap is bad today, wait a minute this isn`t rap this pap. The only good song on here was wurrs my cash because i always like songs about pimping"
__label__2,"WORTH THE PURCHASE: I HAVE 4 OF LESLIE'S FAT BURNING WALK AWAY THE POUNDS VIDEOS.I HAVE BEEN USING THEM FOR ABOUT SIX MONTHS AND HAVE LOST 2 ENTIRE SIZES.THEY ARE EASY TO FOLLOW AND ONCE YOU HAVE BEEN DOING THEM FOR ABOUT 2 WEEKS YOU CAN COMPLETE THE ENTIRE TAPE AND REALLY FEEL LIKE YOU HAVE GOTTEN A GOOD WORK OUT.I JUST RECENTLY PURCHASED THE WALK AWAY THE POUNDS FOR ABS- 2 MILES. I DO THIS TAPE EVERY THIRD DAY TO BREAK UP THE POWER WALKING.JUST ONE NEGATIVE COMMENT. SOME OF LESLIE'S TAPES NEED ADDITONAL EQUIPMENT (STRETCHIE BAND AND WALK AWAY BELT)THAT ARE NOT MENTIONED IN THE DESCRIPTION OF THE TAPE. ONCE YOU RECEIVE THE TAPE THEN YOU HAVE TO GO ONLINE AND ORDER AT AN ADDITONAL COST EACH OF THESE ITEMS AND WAIT ABOUT 2 WEEKS FOR DELIVERY.BUT OVERALL, I AM HAPPY WITH HER TAPES AND LOOK FORWARD TO DOING THEM EACH AND EVERY MORNING."
__label__2,"So Far so Good: I really haven't had this unit long enough to give an in depth evaluation of this product. For me it was somewhat difficult to set up. However, I have always had problems setting up VCR's throughout my VCR buying history. After consulting with a knowledgeable friend on how to kick this thing into gear, the unit appears to work very nicely. Once you understand the total setup, it is quite easy and simple to operate. I gave this a 4 star rating because I believe this VCR/DVD combo will do just fine. The only negative is that it will only record to the channel you are watching. For the price however, I can live with that."
